,2011-09-30,2012-03-31,2013-03-31,2013-09-30,2014-03-31,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31
RepaymentsOfConvertibleDebt,,,,,,,100000.000,,,,,,,
RepaymentsOfNotesPayable,,,9167000.000,,9748000.000,,6595000.000,,,,856000.000,,,
RepaymentsOfShortTermDebt,,852000.000,817000.000,,2837000.000,,1959000.000,,,,795000.000,,,
ResearchAndDevelopmentExpense,1009000.000,279000.000,150000.000,120000.000,186000.000,119000.000,613000.000,1070000.000,38000.000,-242000.000,119000.000,49000.000,84000.000,134000.000
Revenues,14088000.000,12181000.000,14365000.000,9929000.000,6821000.000,5220000.000,8362000.000,5356000.000,7154000.000,8588000.000,3382000.000,2971000.000,3286000.000,1136000.000
SalesRevenueNet,14088000.000,12181000.000,14365000.000,9929000.000,6821000.000,5220000.000,8362000.000,5356000.000,7154000.000,8588000.000,3382000.000,2971000.000,3286000.000,1136000.000
SellingAndMarketingExpense,2702000.000,2112000.000,1433000.000,1224000.000,734000.000,1703000.000,992000.000,890000.000,909000.000,532000.000,585000.000,462000.000,450000.000,428000.000
ShareBasedCompensation,,671000.000,85000.000,,34000.000,,19000.000,,,,18000.000,18000.000,18000.000,19000.000
StockIssuedDuringPeriodValueNewIssues,,,,,1500000.000,,,,,,,,,
StockRepurchasedAndRetiredDuringPeriodShares,,,,,,,1182558.000,,,,,,,
StockRepurchasedAndRetiredDuringPeriodValue,,,,,,,100000.000,,,,,,,
ValuationAllowanceDeferredTaxAssetChangeInAmount,,,,13000000.000,,,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,302518000.000,302518.000,302518000.000,412700000.000,460673.000,460213.000,496392.000,-914618.000,578465.000,578465.000,595658.000,-1162915.000
