,2011-01-01,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2015-01-03,2015-04-04,2015-07-04,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01
DebtInstrumentUnusedBorrowingCapacityAmount,,,,,,,200000000.000,,,,,,,,,,,,,,,,,,,,
DebtLongtermAndShorttermCombinedAmount,,,,,,,,,,,,,,,,,,,,,,,,,1010200000.000,1022600000.000,1105800000.000
DebtWeightedAverageInterestRate,,,,,0.061,,,,0.063,,,,0.108,,,,0.054,,,,0.044,,,,0.029,,
DeferredRevenueCurrent,,,,,24900000.000,,,,24800000.000,,,,26600000.000,,,,34100000.000,,,,40700000.000,,,,43000000.000,,
DeferredTaxAssetsInventory,,,,,24200000.000,,,,25000000.000,,,,24400000.000,,,,29200000.000,,,,29400000.000,,,,33300000.000,,
DeferredTaxAssetsLiabilitiesNet,,,,,109100000.000,,,,64900000.000,,,,-1500000.000,,,,34800000.000,,,,46100000.000,,,,59700000.000,,
DeferredTaxAssetsLiabilitiesNetCurrent,,,,,92000000.000,,,,81700000.000,,,,85200000.000,,,,100800000.000,,,,109900000.000,,,,,,
DeferredTaxAssetsLiabilitiesNetNoncurrent,,,,,17100000.000,,,,-16800000.000,,,,-86700000.000,,,,-66000000.000,,,,106300000.000,49600000.000,61600000.000,66000000.000,72800000.000,68000000.000,71800000.000
DeferredTaxAssetsNetCurrent,,83500000.000,90800000.000,94800000.000,92600000.000,83900000.000,86500000.000,91300000.000,81800000.000,73100000.000,77000000.000,88800000.000,85400000.000,82000000.000,88500000.000,96100000.000,101000000.000,92100000.000,96700000.000,102200000.000,109600000.000,,,,,,
DeferredTaxAssetsNetNoncurrent,,91700000.000,94600000.000,96200000.000,125200000.000,122700000.000,123300000.000,120500000.000,110400000.000,107200000.000,104400000.000,95000000.000,57100000.000,53400000.000,56500000.000,48100000.000,93200000.000,87800000.000,88200000.000,88800000.000,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,295400000.000,,,,313200000.000,,,,328600000.000,,,,305300000.000,,,,266400000.000,,,,253800000.000,,
DeferredTaxAssetsTaxCreditCarryforwards,,,,,,,,,,,,,,,,,,,,,10200000.000,,,,15100000.000,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits,,,,,133900000.000,,,,108100000.000,,,,62500000.000,,,,91500000.000,,,,101200000.000,,,,108100000.000,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,14800000.000,,,,17100000.000,,,,17600000.000,,,,19600000.000,,,,22700000.000,,,,24300000.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReserves,,,,,73400000.000,,,,60400000.000,,,,63200000.000,,,,72700000.000,,,,71100000.000,,,,77700000.000,,
DeferredTaxAssetsValuationAllowance,,,,,40400000.000,,,,43900000.000,,,,45400000.000,,,,34800000.000,,,,32000000.000,,,,21700000.000,,
DeferredTaxAssetsValuationAllowanceCurrent,,,,,5600000.000,,,,3700000.000,,,,2400000.000,,,,1100000.000,,,,1100000.000,,,,,,
DeferredTaxAssetsValuationAllowanceNoncurrent,,,,,34800000.000,,,,40200000.000,,,,43000000.000,,,,33700000.000,,,,30900000.000,,,,21700000.000,,
DeferredTaxLiabilitiesDerivatives,,,,,,,,,,,,,,,,,,,,,,,,,5500000.000,,
DeferredTaxLiabilitiesGrossNoncurrent,,,,,,,,,,,,,,,,,,,,,63500000.000,,,,,,
DeferredTaxLiabilitiesNoncurrent,,96600000.000,97900000.000,97600000.000,108100000.000,110600000.000,112000000.000,119400000.000,127100000.000,133800000.000,138500000.000,137900000.000,143800000.000,145300000.000,147100000.000,148200000.000,159200000.000,158700000.000,160400000.000,161000000.000,169800000.000,14500000.000,13500000.000,13400000.000,13100000.000,24400000.000,21900000.000
DeferredTaxLiabilitiesOther,,,,,,,,,,,,,,,,,,,,,1600000.000,,,,4600000.000,,
DefinedBenefitPlanAccumulatedBenefitObligation,,,,,1123100000.000,,,,1170600000.000,,,,1101400000.000,,,,1274300000.000,,,,1231200000.000,,,,1283100000.000,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetGainsLossesAfterTax,,,,,,,,,,,,,,,,,-247400000.000,,,,-253700000.000,,,,-297000000.000,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetPriorServiceCostCreditAfterTax,,,,,,,,,,,,,,,,,-3500000.000,,,,-2800000.000,,,,-2200000.000,,
DefinedBenefitPlanAmountsRecognizedInBalanceSheet,,,,,-323600000.000,,,,-265300000.000,,,,-136900000.000,,,,-222500000.000,,,,-230200000.000,,,,-250600000.000,,
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationDiscountRate,,,,,0.045,,,,0.043,,,,0.051,,,,0.041,,,,0.045,,,,0.042,,
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationRateOfCompensationIncrease,,,,,0.036,,,,0.036,,,,0.036,,,,0.036,,,,0.036,,,,0.034,,
DefinedBenefitPlanBenefitObligation,,,,,1169700000.000,,,,1229300000.000,,,,1152300000.000,,,,1325900000.000,,,,1279400000.000,,,,1361400000.000,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsFiveFiscalYearsThereafter,,,,,,,,,381500000.000,,,,406700000.000,,,,406900000.000,,,,416900000.000,,,,438200000.000,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsInFiveFiscalYearsThereafter,,,,,358400000.000,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearFive,,,,,66500000.000,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearFour,,,,,64500000.000,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearOne,,,,,71100000.000,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearThree,,,,,62600000.000,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearTwo,,,,,60000000.000,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsNextTwelveMonths,,,,,,,,,61100000.000,,,,66100000.000,,,,67100000.000,,,,70400000.000,,,,68800000.000,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFive,,,,,,,,,70100000.000,,,,75200000.000,,,,76400000.000,,,,78700000.000,,,,78800000.000,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFour,,,,,,,,,67700000.000,,,,73500000.000,,,,74100000.000,,,,77100000.000,,,,76000000.000,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearThree,,,,,,,,,65500000.000,,,,70600000.000,,,,72400000.000,,,,74900000.000,,,,73200000.000,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearTwo,,,,,,,,,63300000.000,,,,68700000.000,,,,69500000.000,,,,73100000.000,,,,70600000.000,,
DefinedBenefitPlanFairValueOfPlanAssets,,,,,846100000.000,,,,964000000.000,,,,1015400000.000,,,,1103400000.000,,,,1049200000.000,,,,1110800000.000,,
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateAccumulatedBenefitObligation,,,,,1074100000.000,,,,1170600000.000,,,,979500000.000,,,,1134300000.000,,,,1097600000.000,,,,1238700000.000,,
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateFairValueOfPlanAssets,,,,,796000000.000,,,,964000000.000,,,,875500000.000,,,,956200000.000,,,,906500000.000,,,,1061000000.000,,
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateProjectedBenefitObligation,,,,,1116400000.000,,,,1229300000.000,,,,1010700000.000,,,,1167300000.000,,,,1128400000.000,,,,1312100000.000,,
DepositLiabilityCurrent,,39500000.000,41500000.000,46900000.000,47300000.000,48400000.000,49100000.000,57900000.000,54700000.000,51500000.000,54800000.000,64400000.000,59400000.000,59000000.000,60500000.000,71100000.000,65800000.000,66900000.000,68400000.000,72100000.000,64400000.000,65900000.000,68900000.000,78700000.000,66700000.000,66100000.000,65700000.000
DerivativeFairValueOfDerivativeAsset,,,11700000.000,25200000.000,23300000.000,25400000.000,24800000.000,33600000.000,30300000.000,42600000.000,27000000.000,36400000.000,25700000.000,29800000.000,29900000.000,29000000.000,36000000.000,37300000.000,38600000.000,37500000.000,34200000.000,43600000.000,39400000.000,32500000.000,46400000.000,32500000.000,37900000.000
