,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
CededPremiumsEarned,,,,,,,,6700000.000,5400000.000,,6000000.000,6000000.000,6500000.000,843200000.000,8900000.000,8500000.000,8700000.000,806800000.000,6800000.000,6500000.000
CededPremiumsEarnedOtherInsurance,,,,8100000.000,6600000.000,,5500000.000,,,,,,,,,,,,,
CommonStockDividendsPerShareCashPaid,0.150,0.150,0.150,0.150,0.150,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,13700000.000,-8100000.000,24700000.000,800000.000,33600000.000,-54300000.000,25400000.000,52700000.000,35400000.000,28300000.000,-6300000.000,40900000.000,34000000.000,-24900000.000,-1300000.000,9300000.000,26800000.000,-3300000.000
CurrentIncomeTaxExpenseBenefit,,,,,,,,,,,,,,,,200000.000,2700000.000,,0.000,0.000
DebtIssuanceCosts,,,,,,,,,,,,,,,,,,,300000.000,
DeferredIncomeTaxExpenseBenefit,,,,,,,,,,,,,,,,500000.000,6500000.000,,800000.000,-500000.000
DefinedBenefitPlanActuarialGainLoss,,,,,,,,,,,,-1600000.000,,,,0.000,,,,
DefinedBenefitPlanAmountsRecognizedInOtherComprehensiveIncomeNetPriorServiceCostCreditBeforeTax,,,1300000.000,1300000.000,1300000.000,1300000.000,-1400000.000,-1400000.000,0.000,8300000.000,,,,,,,,,,
DefinedBenefitPlanContributionsByEmployer,,,,,,,3300000.000,,,,,6500000.000,13000000.000,,3300000.000,,,,3300000.000,
DefinedBenefitPlanExpectedContributionsInCurrentFiscalYear,,,,,,,,,,,,,,,9700000.000,,,,9700000.000,
DefinedBenefitPlansEstimatedFutureEmployerContributionsInCurrentFiscalYear,,,,,,,,,,,13100000.000,,,,,,,,,
DepreciationAmortizationAndAccretionNet,,,2700000.000,,,,4300000.000,,,,3400000.000,,,,5500000.000,,,,4400000.000,
EarningsPerShareBasic,-5.010,-1.460,-0.050,-0.070,-0.140,0.520,0.490,0.150,0.460,0.400,0.670,0.070,0.290,1.600,0.600,0.060,0.500,0.090,0.070,-0.590
EarningsPerShareDiluted,-5.010,-1.460,-0.050,-0.070,-0.140,0.530,0.490,0.150,0.450,0.400,0.660,0.070,0.280,1.590,0.600,0.060,0.500,0.070,0.070,-0.590
EffectiveIncomeTaxRateContinuingOperations,,,,,0.030,,0.010,0.010,0.020,-0.030,0.020,0.030,0.090,-3.150,0.250,0.200,0.308,-0.519,0.200,0.017
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,0.350,0.350,,0.350,0.350,0.350,-0.700,0.350,0.350,0.350,-0.700,0.350,0.350,0.350,-0.700,0.350,0.350
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,-1.030,-0.750,,-0.230,0.030,-0.190,0.200,-0.260,0.120,-0.100,-2.840,0.000,0.000,0.000,0.000,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,,,-0.110,0.020,,0.010,0.010,-0.010,-0.010,0.010,0.240,0.000,-0.210,-0.030,0.520,0.028,-0.499,0.378,-0.407
FederalIncomeTaxExpenseBenefitContinuingOperations,,,,,,,300000.000,100000.000,200000.000,-100000.000,600000.000,100000.000,1200000.000,-82500000.000,8500000.000,700000.000,9200000.000,-2300000.000,800000.000,-500000.000
GainLossOnSaleOfInvestments,,,7100000.000,,,,6700000.000,,,,10700000.000,,,,3800000.000,,,,1300000.000,
