,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
PrepaidExpenseAndOtherAssetsCurrent,1224000.000,1929000.000,2527000.000,2502000.000,2784000.000,3573000.000,1721000.000,1799000.000,1162000.000,1785000.000,3277000.000,3565000.000,2534000.000,2836000.000,2495000.000,3203000.000
PropertyPlantAndEquipmentGross,,,19673000.000,,,,20723000.000,,,,21676000.000,,,,22971000.000,
PropertyPlantAndEquipmentNet,4884000.000,4569000.000,4641000.000,4962000.000,5168000.000,4965000.000,5104000.000,5119000.000,5349000.000,5065000.000,4825000.000,4907000.000,4643000.000,4355000.000,4471000.000,4172000.000
RetainedEarningsAccumulatedDeficit,-166597000.000,-170082000.000,-174426000.000,-188297000.000,-203894000.000,-209380000.000,-224436000.000,-238965000.000,-260585000.000,-285065000.000,-309843000.000,-337056000.000,-364745000.000,-390610000.000,-412945000.000,-435553000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,,,,,,,,,,,0.000,,,,0.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,,,417000.000,988000.000,822000.000,831000.000,19000.000,1246000.000,1093000.000,1065000.000,145000.000,1319000.000,1180000.000,1202000.000,971000.000,1631000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,,,7445000.000,,,,46039000.000,,,,45394000.000,,,,6300000.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,2930000.000,3135000.000,3102000.000,3048000.000,3822000.000,3692000.000,3779000.000,3794000.000,4694000.000,4628000.000,4754000.000,4700000.000,4901000.000,5275000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,3.570,,,,10.840,,,,14.020,,,,13.950,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableAggregateIntrinsicValue,,,14613000.000,,,,45904000.000,,,,45286000.000,,,,10723000.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableNumber,,,815000.000,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableWeightedAverageExercisePrice,,,11.560,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue,,,54053000.000,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,,,2082000.000,,,,3773000.000,,,,4632000.000,,,,4868000.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,,,3.570,,,,10.720,,,,13.920,,,,13.910,
ShortTermInvestments,40291000.000,117554000.000,107263000.000,257963000.000,242969000.000,217878000.000,203828000.000,183933000.000,163973000.000,143925000.000,118835000.000,108940000.000,133756000.000,177506000.000,147620000.000,117740000.000
SignificantChangeInUnrecognizedTaxBenefitsIsReasonablyPossibleAmountOfUnrecordedBenefit,,,,,,,,,,,,,,,0.000,
StockholdersEquity,-161955000.000,101054000.000,118122000.000,105817000.000,92303000.000,89423000.000,76367000.000,65323000.000,46311000.000,24885000.000,3551000.000,-19811000.000,-43539000.000,-3181000.000,-23028000.000,-40772000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,20818000.000,101054000.000,118122000.000,105817000.000,92303000.000,89423000.000,76367000.000,65323000.000,46311000.000,24885000.000,3551000.000,-19811000.000,-43539000.000,-3181000.000,-23028000.000,-40772000.000
TaxesPayableCurrent,,,10758000.000,,,0.000,,,,,,,,,,
UnrecognizedTaxBenefits,,,4464000.000,,,,5434000.000,,,,10022000.000,,,,14260000.000,
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,,,,,,,,,,,0.000,,,,0.000,
WorkersCompensationLiabilityCurrent,,,3446000.000,,,,4208000.000,,,,6019000.000,,,,4922000.000,
