,2011-01-01,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2015-01-03,2015-04-04,2015-07-04,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01
AdditionalPaidInCapitalCommonStock,,503000000.000,513000000.000,510000000.000,522000000.000,530000000.000,541000000.000,553000000.000,573000000.000,583000000.000,568000000.000,620000000.000,626000000.000,638000000.000,653000000.000,656000000.000,678000000.000,689000000.000,704000000.000,721000000.000,745000000.000,754000000.000,770000000.000,786000000.000,806000000.000,817000000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,8000000.000,,,,6000000.000,,,,5000000.000,,,,7000000.000,,,,8000000.000,,,,8000000.000,
Assets,,12188000000.000,12356000000.000,12263000000.000,11901000000.000,12134000000.000,14640000000.000,14854000000.000,15184000000.000,15224000000.000,15076000000.000,15220000000.000,15474000000.000,15728000000.000,15813000000.000,15772000000.000,15153000000.000,15208000000.000,14962000000.000,15518000000.000,15265000000.000,15297000000.000,15387000000.000,15319000000.000,15111000000.000,15427000000.000
AssetsCurrent,,3051000000.000,3136000000.000,3178000000.000,3027000000.000,3192000000.000,3211000000.000,3306000000.000,3380000000.000,3462000000.000,3407000000.000,3434000000.000,3267000000.000,3504000000.000,3491000000.000,3572000000.000,3340000000.000,3441000000.000,3326000000.000,3353000000.000,3236000000.000,3219000000.000,3421000000.000,3296000000.000,2940000000.000,3146000000.000
AssetsNoncurrent,,,,,516000000.000,,,,610000000.000,,,,933000000.000,,,,778000000.000,,,,716000000.000,,,,,
BuildingsAndImprovementsGross,,,,,1896000000.000,,,,2084000000.000,,,,2155000000.000,,,,2154000000.000,,,,2076000000.000,,,,2020000000.000,
CapitalLeaseObligationsCurrent,,,,,-1000000.000,,,,-2000000.000,,,,-1000000.000,,,,-1000000.000,,,,2000000.000,,,,1000000.000,
CapitalLeaseObligationsNoncurrent,,,,,3000000.000,,,,2000000.000,,,,5000000.000,,,,4000000.000,,,,3000000.000,,,,2000000.000,
CapitalLeasesBalanceSheetAssetsByMajorClassNet,,,,,,,,,4000000.000,,,,1000000.000,,,,1000000.000,,,,1000000.000,,,,1000000.000,
CapitalLeasesFutureMinimumPaymentsDue,,,,,5000000.000,,,,5000000.000,,,,7000000.000,,,,6000000.000,,,,5000000.000,,,,3000000.000,
