,2011-09-30,2012-09-30,2013-09-30,2014-09-30,2015-09-30,2016-09-30
ProvisionForDoubtfulAccounts,-17000.000,63000.000,-149000.000,,,-75000.000
RepaymentsOfDebt,,,2056000.000,3944000.000,,
RepaymentsOfLinesOfCredit,,600000.000,0.000,900000.000,,
RestructuringCharges,,,,,1786000.000,
Revenues,17885000.000,26006000.000,30296000.000,35087000.000,30221000.000,30462000.000
RoyaltyExpense,,1161000.000,194000.000,416000.000,600000.000,
SalesRevenueNet,17885000.000,26006000.000,30296000.000,35087000.000,30221000.000,30462000.000
SegmentReportingInformationRevenue,,26006000.000,,,,
SellingAndMarketingExpense,6268000.000,12263000.000,18482000.000,31133000.000,27037000.000,20783000.000
ShareBasedCompensation,264000.000,879000.000,3323000.000,8446000.000,4733000.000,2831000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,0.000,0.000,0.000,0.000,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,,,0.730,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,,,0.007,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsWeightedAverageVolatilityRate,,,0.730,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,,778000.000,1039000.000,719000.000,71000.000,15000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,,4000.000,125.000,,,5000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,,,75000.000,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,,75000.000,0.000,0.000,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,,7.610,,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,2.600,2.930,4.180,2.910,4.730
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,,2.680,2.790,,,3.610
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,,12.920,,,
StockAndWarrantsIssuedDuringPeriodValuePreferredStockAndWarrants,,1096000.000,1100000.000,,,
StockIssuedDuringPeriodSharesStockOptionsExercised,,100328.000,67000.000,42709.000,18000.000,22500.000
StockIssuedDuringPeriodValueAcquisitions,,,42644000.000,,,
StockIssuedDuringPeriodValueNewIssues,,,,53628000.000,,
StockIssuedDuringPeriodValueRestrictedStockAwardGross,,3100000.000,14602000.000,,2000.000,3000.000
StockIssuedDuringPeriodValueStockOptionsExercised,388000.000,261000.000,198000.000,179000.000,52000.000,105000.000
TaxBenefitFromStockOptionsExercised1,,691000.000,,,,
TechnologyServicesRevenue,,1304000.000,1166000.000,1615000.000,1388000.000,1328000.000
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,,,,,68000.000,114000.000
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,,16000.000,132000.000,-678000.000,,
UnrecognizedTaxBenefitsPeriodIncreaseDecrease,,9000.000,,-535000.000,,
ValuationAllowanceDeferredTaxAssetChangeInAmount,,,,,6274000.000,4457000.000
WeightedAverageNumberOfDilutedSharesOutstanding,6235000.000,6730000.000,6634000.000,9998288.000,11368000.000,11758000.000
WeightedAverageNumberOfSharesIssuedBasic,,,,9998288.000,11368000.000,11758000.000
WeightedAverageNumberOfSharesOutstandingBasic,6039000.000,6252000.000,6634000.000,9998288.000,11368000.000,11758000.000
