,2011-03-31,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,2433000000.000,,2853000000.000,4076000000.000,2591000000.000,1882000000.000,3057000000.000,3472000000.000,,,2003000000.000,2975000000.000,2475000000.000,1477000000.000,2777000000.000,2905000000.000,2337000000.000,2008000000.000,2875000000.000,2561000000.000,2556000000.000
IncomeLossFromContinuingOperationsPerBasicShare,1.010,,,0.840,,1.000,1.460,0.920,0.660,1.090,1.240,0.940,0.890,0.700,1.060,0.880,0.520,0.980,1.040,0.830,0.740,1.030,0.960,0.960
IncomeLossFromContinuingOperationsPerDilutedShare,0.960,,,0.810,,0.960,1.390,0.880,0.630,1.040,1.180,0.900,0.860,0.680,1.020,0.850,0.510,0.960,1.010,0.810,0.710,1.000,0.930,0.930
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,34000000.000,,0.000,0.000,0.000,0.000,,,,,17000000.000,-577000000.000,-287000000.000,-939000000.000,-142000000.000,323000000.000,446000000.000,-50000000.000,-118000000.000,5335000000.000,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,,,,,,,,,,,,17000000.000,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,,0.010,,0.000,0.000,0.000,0.000,,,,,0.010,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,,0.010,,0.000,0.000,0.000,0.000,,,,,0.010,,,,,,,,,,
IncomeTaxExpenseBenefit,768000000.000,1071000000.000,995000000.000,754000000.000,648000000.000,973000000.000,1142000000.000,697000000.000,629000000.000,955000000.000,959000000.000,692000000.000,572000000.000,820000000.000,865000000.000,602000000.000,629000000.000,877000000.000,898000000.000,889000000.000,678000000.000,863000000.000,695000000.000,780000000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-479000000.000,,,,64000000.000,,,,-809000000.000,,,,812000000.000,,,,298000000.000,,,,298000000.000,,
IncreaseDecreaseInAccountsReceivable,,639000000.000,,,,795000000.000,,,,3000000.000,,,,101000000.000,,,,368000000.000,,,,424000000.000,,
IncreaseDecreaseInInventories,,927000000.000,,,,502000000.000,,,,452000000.000,,,,568000000.000,,,,519000000.000,,,,287000000.000,,
IncreaseDecreaseInOtherOperatingCapitalNet,,-199000000.000,,,,-397000000.000,,,,731000000.000,,,,316000000.000,,,,-141000000.000,,,,-135000000.000,,
IncreaseDecreaseInRestrictedCash,,,,,,,,,,,,,,,,,,,,,,874000000.000,,
IncrementalCommonSharesAttributableToConversionOfPreferredStock,,,,,,,,,,,,,,110200000.000,,108100000.000,,105700000.000,104700000.000,103400000.000,-209900000.000,101000000.000,100100000.000,98700000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,,,,,,,,,,67200000.000,,62700000.000,,41700000.000,41000000.000,42900000.000,-84000000.000,47200000.000,40900000.000,43500000.000
IndefiniteLivedIntangibleAssetsImpairmentLosses,,,246000000.000,,,,,,,,,,,,,,,,,,,,,
InterestExpense,202000000.000,207000000.000,201000000.000,179000000.000,182000000.000,172000000.000,169000000.000,163000000.000,163000000.000,165000000.000,187000000.000,179000000.000,178000000.000,169000000.000,160000000.000,149000000.000,148000000.000,140000000.000,143000000.000,146000000.000,150000000.000,131000000.000,122000000.000,96000000.000
InvestmentIncomeInterest,,,,,,,,,,21000000.000,23000000.000,29000000.000,27000000.000,31000000.000,34000000.000,38000000.000,48000000.000,44000000.000,58000000.000,33000000.000,47000000.000,35000000.000,42000000.000,46000000.000
NetCashProvidedByUsedInFinancingActivities,,-419000000.000,,,,-1231000000.000,,,,-971000000.000,,,,-5015000000.000,,,,-1971000000.000,,,,-507000000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-419000000.000,,,,-1231000000.000,,,,-971000000.000,,,,-5015000000.000,,,,-1971000000.000,,,,-507000000.000,,
NetCashProvidedByUsedInInvestingActivities,,-859000000.000,,,,-739000000.000,,,,-846000000.000,,,,442000000.000,,,,-546000000.000,,,,-2121000000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-859000000.000,,,,-739000000.000,,,,-846000000.000,,,,442000000.000,,,,-546000000.000,,,,-2121000000.000,,
NetCashProvidedByUsedInOperatingActivities,,2167000000.000,,,,2770000000.000,,,,2044000000.000,,,,3633000000.000,,,,3538000000.000,,,,3025000000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,2167000000.000,,,,2770000000.000,,,,2044000000.000,,,,3633000000.000,,,,3538000000.000,,,,3025000000.000,,
NetIncomeLoss,2873000000.000,3024000000.000,1690000000.000,2411000000.000,3631000000.000,2814000000.000,4057000000.000,2566000000.000,1875000000.000,3027000000.000,3428000000.000,2609000000.000,2579000000.000,1990000000.000,2372000000.000,2153000000.000,521000000.000,2601000000.000,3206000000.000,2750000000.000,1951000000.000,2714000000.000,7875000000.000,2522000000.000
NetIncomeLossAttributableToNoncontrollingInterest,,,23000000.000,56000000.000,,39000000.000,19000000.000,25000000.000,7000000.000,30000000.000,44000000.000,27000000.000,41000000.000,30000000.000,26000000.000,35000000.000,17000000.000,34000000.000,22000000.000,33000000.000,7000000.000,43000000.000,21000000.000,34000000.000
NetIncomeLossAttributableToParentDiluted,,,,,,,,,,,,,,,,2153000000.000,,2601000000.000,3206000000.000,2750000000.000,1951000000.000,2714000000.000,7875000000.000,2522000000.000
NetIncomeLossAvailableToCommonStockholdersBasic,,,,,,,,,,,,,,1930000000.000,,2094000000.000,,2536000000.000,3142000000.000,2687000000.000,1888000000.000,2651000000.000,7814000000.000,2462000000.000
OperatingIncomeLoss,3772000000.000,4334000000.000,2739000000.000,3299000000.000,2920000000.000,3951000000.000,4492000000.000,3405000000.000,2633000000.000,4151000000.000,4552000000.000,3458000000.000,3127000000.000,2940000000.000,3947000000.000,3135000000.000,1768000000.000,3768000000.000,3853000000.000,3318000000.000,2502000000.000,3771000000.000,3875000000.000,3360000000.000
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,,,,8000000.000,,14000000.000,-15000000.000,-1000000.000,11000000.000,-3000000.000,1000000.000,28000000.000,-2000000.000,8000000.000,-28000000.000,36000000.000,12000000.000,-13000000.000,-55000000.000,4000000.000
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesTax,,,,,,,,,,3000000.000,,,,1000000.000,,,,,,,,,,
OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax,,,,,,,,,,,,,,-2161000000.000,,,,-1033000000.000,,,,-133000000.000,,
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,,,,,,-230000000.000,85000000.000,358000000.000,-69000000.000,-239000000.000,-71000000.000,-12000000.000,-25000000.000,408000000.000,365000000.000,780000000.000,-319000000.000,-42000000.000,252000000.000,-382000000.000,173000000.000,-115000000.000,864000000.000,-192000000.000
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesTax,,,,,,,,,,-144000000.000,,,,250000000.000,,,,,,,,,,
