,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
FairValueOfAssetsAcquired,0.000,,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpense,9700000.000,9700000.000,20900000.000,20700000.000,20000000.000,,,,,,,,,,
FutureAmortizationExpenseYearFive,19900000.000,,,,58000000.000,,,,,,,,,,
FutureAmortizationExpenseYearFour,23600000.000,,,,60000000.000,,,,,,,,,,
FutureAmortizationExpenseYearOne,33400000.000,,,,80000000.000,,,,,,,,,,
FutureAmortizationExpenseYearThree,26400000.000,,,,76000000.000,,,,,,,,,,
FutureAmortizationExpenseYearTwo,29500000.000,,,,80000000.000,,,,,,,,,,
GainOnSaleOfInvestments,,,,,,,,,225000000.000,0.000,-1000000.000,0.000,0.000,0.000,0.000
GeneralAndAdministrativeExpense,189200000.000,97400000.000,100500000.000,85600000.000,107000000.000,98000000.000,131000000.000,157000000.000,134000000.000,163000000.000,136000000.000,127000000.000,153000000.000,132000000.000,126000000.000
GoodwillTranslationAndPurchaseAccountingAdjustments,6400000.000,,,,5000000.000,,,,,,,,,,
GoodwillWrittenOffRelatedToSaleOfBusinessUnit,-10600000.000,,,,-85000000.000,,,,,,,,,,
IncentiveDistributionDistributionPerYear,,,,,,,,,384000000.000,398000000.000,416000000.000,434000000.000,445000000.000,449000000.000,463000000.000
IncomeLossFromContinuingOperations,337800000.000,230500000.000,214500000.000,475000000.000,475000000.000,429000000.000,509000000.000,588000000.000,785000000.000,1000000000.000,689000000.000,811000000.000,746000000.000,661000000.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,452000000.000,525000000.000,,895000000.000,1036000000.000,717000000.000,837000000.000,770000000.000,693000000.000,1000000000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,347400000.000,247000000.000,228500000.000,,495000000.000,438000000.000,514000000.000,578000000.000,794000000.000,1010000000.000,697000000.000,820000000.000,754000000.000,669000000.000,976000000.000
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnit,,,,,0.460,,,,,,,,,,
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,,,,,,,,0.590,,0.670,0.430,1.050
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,-279000000.000,-131000000.000,,-2000000.000,0.000,0.000,-2000000.000,0.000,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerOutstandingLimitedPartnershipUnit,,,,,-0.790,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerOutstandingLimitedPartnershipUnitBasic,,,,,,,,,,,0.000,,0.000,0.000,0.000
IncomeLossFromEquityMethodInvestments,64900000.000,76400000.000,72600000.000,97200000.000,65000000.000,67000000.000,100000000.000,107000000.000,83000000.000,74000000.000,68000000.000,72000000.000,72000000.000,65000000.000,66000000.000
IncomeTaxExpenseBenefit,-6500000.000,15100000.000,12200000.000,-66600000.000,15000000.000,14000000.000,11000000.000,-10000000.000,101000000.000,26000000.000,20000000.000,17000000.000,16000000.000,24000000.000,24000000.000
IncomeTaxesPaidNet,1300000.000,,,,4000000.000,,,,3000000.000,,,,2000000.000,,
IncreaseDecreaseInAccountsPayableTrade,-39100000.000,,,,-103000000.000,,,,-161000000.000,,,,-3000000.000,,
IncreaseDecreaseInAccountsReceivable,99700000.000,,,,83000000.000,,,,-21000000.000,,,,-22000000.000,,
IncreaseDecreaseInAccruedIncomeTaxesPayable,33500000.000,,,,35000000.000,,,,,,,,,,
IncreaseDecreaseInAccruedLiabilities,-20900000.000,,,,71000000.000,,,,208000000.000,,,,,,
IncreaseDecreaseInConstructionPayables,,,,,,,,,51000000.000,,,,,,
IncreaseDecreaseInInterestPayableNet,-148000000.000,,,,-162000000.000,,,,-143000000.000,,,,-165000000.000,,
IncreaseDecreaseInInventories,0.000,,,,-73000000.000,,,,13000000.000,,,,-10000000.000,,
IncreaseDecreaseInOtherCurrentAssets,,,,,,,,,-24000000.000,,,,-9000000.000,,
IncreaseDecreaseInOtherOperatingAssets,20000000.000,,,,36000000.000,,,,,,,,,,
InterestExpense,-132000000.000,130200000.000,133400000.000,402300000.000,140000000.000,142000000.000,184000000.000,192000000.000,199000000.000,214000000.000,219000000.000,223000000.000,,,
InterestIncomeExpenseNet,,,,,,,,,,,,,-238000000.000,-231000000.000,-238000000.000
InterestPaidNet,251100000.000,,,,272000000.000,,,,318000000.000,,,,373000000.000,,
InvestmentIncomeInterest,5300000.000,5800000.000,6300000.000,5500000.000,5000000.000,5000000.000,8000000.000,5000000.000,,,,,,,
MinorityInterestInNetIncomeLossLimitedPartnerships,-3100000.000,1400000.000,1800000.000,10500000.000,2000000.000,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,-240800000.000,,,,-210000000.000,,,,638000000.000,,,,680000000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-240800000.000,,,,-210000000.000,,,,638000000.000,,,,680000000.000,,
NetCashProvidedByUsedInInvestingActivities,-229900000.000,,,,-373000000.000,,,,-1171000000.000,,,,-1801000000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-229900000.000,,,,-373000000.000,,,,-1171000000.000,,,,-1801000000.000,,
NetCashProvidedByUsedInOperatingActivities,517500000.000,,,,658000000.000,,,,746000000.000,,,,1074000000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,517500000.000,,,,658000000.000,,,,746000000.000,,,,1074000000.000,,
NetIncomeLoss,337800000.000,230500000.000,214500000.000,475000000.000,206000000.000,153000000.000,379000000.000,601000000.000,783000000.000,1000000000.000,689000000.000,809000000.000,746000000.000,661000000.000,963000000.000
NetIncomeLossAllocatedToGeneralPartners,-280600000.000,-292200000.000,-298200000.000,-304000000.000,-321000000.000,-336000000.000,-367000000.000,-386000000.000,-402000000.000,-422000000.000,-436000000.000,,-452000000.000,-465000000.000,
NetIncomeLossAllocatedToLimitedPartners,57200000.000,-61700000.000,-83700000.000,171000000.000,-112000000.000,-181000000.000,-22000000.000,237000000.000,364000000.000,582000000.000,255000000.000,364000000.000,299000000.000,197000000.000,
NetIncomeLossAttributableToNoncontrollingInterest,,,,,,6000000.000,4000000.000,,9000000.000,10000000.000,8000000.000,9000000.000,8000000.000,8000000.000,13000000.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,,,,,-0.330,,,,,,,,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,,,,,,,,0.590,,0.670,0.430,1.050
NoncashOrPartNoncashAcquisitionOtherAssetsAcquired1,,,,,,,,,,,,,0.000,,
NonoperatingIncomeExpense,-61700000.000,-43200000.000,-220400000.000,-31000000.000,-71000000.000,-63000000.000,-73000000.000,-78000000.000,111000000.000,435000000.000,-150000000.000,-140000000.000,-163000000.000,-162000000.000,-161000000.000
OperatingCostsAndExpenses,1583700000.000,1729100000.000,1746200000.000,1481700000.000,1282000000.000,,,,,,,,,,
OperatingIncomeLoss,409100000.000,290200000.000,448900000.000,522300000.000,566000000.000,515000000.000,598000000.000,661000000.000,784000000.000,601000000.000,867000000.000,977000000.000,933000000.000,855000000.000,1161000000.000
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPeriodIncreaseDecrease,-13200000.000,0.000,,,-1000000.000,,,,,,,,,,
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPortionAttributableToParent,,,,,,0.000,0.000,,,,,,2000000.000,1000000.000,1000000.000
OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodNetOfTax,,,,,,,,,1000000.000,0.000,31000000.000,,,,
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPortionAttributableToParent,,,,,,,,,,,,,-38000000.000,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,50600000.000,11100000.000,-163500000.000,57400000.000,38000000.000,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,,,,,,-40000000.000,70000000.000,,,,,,-78000000.000,71000000.000,-97000000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,,,,,,,,-43000000.000,-71000000.000,42000000.000,,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationReclassificationAdjustmentFromAOCIRealizedUponSaleOrLiquidationNetOfTax,,,,,,,,,,,,,0.000,,
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,-172000000.000,262500000.000,272100000.000,-171100000.000,-46000000.000,,,,,,,,,,
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,,,,252000000.000,-30000000.000,,-89000000.000,,,,-118000000.000,-25000000.000,57000000.000
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeReclassificationAdjustmentsNetOfTax,,,,,,,,,,,,,2000000.000,,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,,,,,,,,,,,,,-2000000.000,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,,,,,,,,,,,,,,,1000000.000
OtherComprehensiveIncomeReclassificationAdjustmentOnDerivativesIncludedInNetIncomeNetOfTax,53000000.000,86800000.000,49000000.000,66500000.000,-31000000.000,,,,,,,,,,
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,-262400000.000,164600000.000,386600000.000,-274700000.000,-114000000.000,,,,-41000000.000,70000000.000,-102000000.000,13000000.000,-56000000.000,,156000000.000
OtherCostAndExpenseOperating,,,,,,,,,,-24000000.000,-59000000.000,,,,
OtherDepreciationAndAmortization,1500000.000,1600000.000,1800000.000,1800000.000,2000000.000,2000000.000,1000000.000,2000000.000,2000000.000,2000000.000,3000000.000,3000000.000,3000000.000,5000000.000,3000000.000
OtherNoncashExpense,89900000.000,,,,0.000,,,,,,,,,,
OtherNonoperatingIncomeExpense,1600000.000,6400000.000,3100000.000,6400000.000,1000000.000,9000000.000,4000000.000,4000000.000,4000000.000,19000000.000,5000000.000,14000000.000,6000000.000,9000000.000,14000000.000
OtherOperatingActivitiesCashFlowStatement,,,,,,,,,-103000000.000,,,,12000000.000,,
OtherOperatingIncome,-200000.000,13800000.000,900000.000,-3600000.000,,20000000.000,8000000.000,,,,,,,,
OtherOperatingIncomeExpenseNet,,,,,,,,,,,,,-6000000.000,-3000000.000,1000000.000
OtherSalesRevenueNet,,,,,,,,,,,,,1098000000.000,1098000000.000,1184000000.000
PartnersCapitalAccountAcquisitions,,23700000.000,,,7000000.000,,,,108000000.000,,,,,,
PartnersCapitalAccountContributions,1800000.000,11300000.000,2300000.000,,2000000.000,,,,65000000.000,,,,,,
PartnersCapitalAccountDistributions,-538200000.000,-547600000.000,-573500000.000,,-590000000.000,,,,730000000.000,757000000.000,845000000.000,877000000.000,895000000.000,918000000.000,944000000.000
PartnersCapitalAccountSaleOfUnits,81200000.000,624600000.000,107500000.000,,124000000.000,153000000.000,110000000.000,,385000000.000,,,,,,
PartnersCapitalAccountUnitBasedCompensation,200000.000,,,,,,,,,,,,,,
PartnersCapitalAccountUnitsSaleOfUnits,,,,,,1953723.000,1357946.000,,,,,,,,
PartnersCapitalOther,1300000.000,-100000.000,-4100000.000,,2000000.000,,,,2000000.000,,,,,,
PaymentsForProceedsFromOtherInvestingActivities,,,,,,,,,9000000.000,,,,10000000.000,,
PaymentsOfDebtIssuanceCosts,7100000.000,,,,6000000.000,,,,7000000.000,,,,10000000.000,,
PaymentsOfDividendsCommonStock,247400000.000,,,,270000000.000,,,,,,,,,,
PaymentsOfDividendsMinorityInterest,6600000.000,,,,7000000.000,,,,,,,,,,
PaymentsToAcquireInvestments,,,,,,,,,,,,,25000000.000,,
PaymentsToAcquireOtherInvestments,22200000.000,,,,49000000.000,,,,40000000.000,,,,35000000.000,,
PaymentsToAcquirePropertyPlantAndEquipment,265000000.000,,,,353000000.000,,,,552000000.000,,,,809000000.000,,
ProceedsFromDivestitureOfInterestInSubsidiariesAndAffiliates,79100000.000,,,,43000000.000,,,,,,,,,,
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,,,,,,,,,,,,,15000000.000,,
ProceedsFromIssuanceOfCommonLimitedPartnersUnits,81200000.000,,,,124000000.000,,,,385000000.000,,,,,,
ProceedsFromIssuanceOfDebt,,,,,,,,,,,,,4498000000.000,,
ProceedsFromIssuanceOfSeniorLongTermDebt,1092700000.000,,,,,,,,,,,,,,
ProceedsFromMinorityShareholders,1800000.000,,,,2000000.000,,,,65000000.000,,,,32000000.000,,
ProceedsFromPaymentsForOtherFinancingActivities,,,,,,,,,,,,,-1000000.000,,
ProceedsFromRepaymentsOfRelatedPartyDebt,,,,,,,,,,,,,-17000000.000,,
ProceedsFromSalesOfAssetsInvestingActivities,,,,,,,,,,,,,21000000.000,,
ProfitLoss,340900000.000,231900000.000,216300000.000,479300000.000,208000000.000,159000000.000,383000000.000,606000000.000,792000000.000,1010000000.000,697000000.000,818000000.000,754000000.000,669000000.000,976000000.000
RepaymentsOfDebt,,,,,,,,,,,,,3569000000.000,,
Revenues,1992800000.000,2019300000.000,2195100000.000,2004000000.000,1848000000.000,1852000000.000,2333000000.000,2609000000.000,2661000000.000,3017000000.000,3381000000.000,3471000000.000,3652000000.000,3577000000.000,3933000000.000
SalesRevenueNet,1993000000.000,2005500000.000,2194200000.000,2007600000.000,1848000000.000,1832000000.000,2325000000.000,2609000000.000,2661000000.000,3017000000.000,3381000000.000,3471000000.000,3652000000.000,3577000000.000,3933000000.000
SalesRevenueServicesNet,784400000.000,753100000.000,780100000.000,791100000.000,761000000.000,737000000.000,989000000.000,1150000000.000,1188000000.000,1170000000.000,1328000000.000,1553000000.000,1458000000.000,1467000000.000,1705000000.000
SegmentReportingInformationIntersegmentRevenue,-300000.000,200000.000,400000.000,800000.000,,,,,,,,,,,
SegmentReportingInformationRevenue,1993100000.000,2019500000.000,2195500000.000,2004200000.000,1848000000.000,,,,,,,,,,
StockDividendsShares,,,,,,,,,1804596.000,1726952.000,1880172.000,2153480.000,2237258.000,2386814.000,2283909.000
TaxesExcludingIncomeAndExciseTaxes,48600000.000,53300000.000,38900000.000,43400000.000,50000000.000,51000000.000,63000000.000,59000000.000,74000000.000,75000000.000,71000000.000,76000000.000,83000000.000,87000000.000,80000000.000
UnrealizedLossOnPriceRiskCashFlowDerivativesBeforeTax,514400000.000,,,,,,,,,,,,,,
UtilitiesOperatingExpenseMaintenanceAndOperations,,,,,,,,,,,,,450000000.000,492000000.000,500000000.000
WeightedAverageLimitedPartnershipUnitsOutstanding,,,,,,,,,,,,,448000000.000,457000000.000,463000000.000
