,2011-07-30,2011-10-29,2012-04-28,2012-07-28,2012-10-27,2013-05-04,2013-08-03,2013-11-02,2014-02-01,2014-05-03,2014-08-02,2014-11-01,2015-01-31,2015-05-02,2015-08-01,2015-10-31
RepaymentsOfShortTermDebt,,,,,,47435000.000,,,,46202000.000,,,,49218000.000,,
RevenueRecognitionGiftCardsBreakage,,,,100000.000,100000.000,100000.000,300000.000,100000.000,1000000.000,100000.000,300000.000,100000.000,1000000.000,100000.000,200000.000,100000.000
Revenues,,,,,,,109225000.000,100366000.000,,103783000.000,108306000.000,101186000.000,160809000.000,101807000.000,107922000.000,101581000.000
SalesRevenueGoodsNet,106386000.000,94374000.000,113100000.000,120418000.000,104717000.000,104489000.000,108793000.000,99888000.000,155250000.000,103143000.000,107556000.000,100374000.000,159898000.000,100701000.000,106762000.000,100491000.000
SalesRevenueNet,,,,,,,109225000.000,100366000.000,,103783000.000,108306000.000,101186000.000,160809000.000,101807000.000,107922000.000,101581000.000
ShareBasedCompensation,,,149000.000,,,176000.000,,,,172000.000,,,,242000.000,,
ValuationAllowanceDeferredTaxAssetChangeInAmount,,,,,,,,,,2200000.000,700000.000,2100000.000,-7000000.000,1800000.000,1700000.000,3100000.000
WeightedAverageNumberOfDilutedSharesOutstanding,15737000.000,15815000.000,,,,,,,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,15365000.000,15286000.000,14844000.000,14673000.000,14657000.000,,14799000.000,14234000.000,13912000.000,,14188000.000,14212000.000,14213000.000
WeightedAverageNumberOfSharesOutstandingBasic,15737000.000,15815000.000,,,,,,,,,,,,,,
