,2011-06-26,2011-09-25,2011-12-25,2012-03-25,2012-06-24,2012-09-30,2012-12-30,2013-03-31,2013-06-30,2013-09-29,2013-12-29,2014-03-30
Land,101202000.000,105039000.000,108688000.000,109271000.000,109182000.000,109729000.000,109666000.000,108566000.000,110343000.000,114460000.000,114819000.000,115185000.000
Liabilities,1124488000.000,1152003000.000,1183287000.000,1115520000.000,1103935000.000,1125700000.000,1112699000.000,1117920000.000,1101008000.000,1083896000.000,1083974000.000,1062632000.000
LiabilitiesAndStockholdersEquity,1200177000.000,1232767000.000,1268061000.000,1207957000.000,1203650000.000,1208322000.000,1195770000.000,1212589000.000,1196864000.000,1197346000.000,1208480000.000,1206289000.000
LiabilitiesCurrent,286819000.000,345462000.000,365682000.000,314075000.000,302475000.000,326156000.000,313859000.000,317276000.000,302811000.000,323783000.000,394283000.000,368833000.000
LongTermDebt,,,,,,644940000.000,,,,633521000.000,,
LongTermDebtCurrent,7250000.000,38798000.000,36435000.000,10875000.000,12688000.000,11419000.000,13232000.000,14500000.000,10875000.000,24810000.000,89896000.000,72336000.000
LongTermDebtFairValue,,,,,677900000.000,672500000.000,666800000.000,660700000.000,649500000.000,649600000.000,644500000.000,627100000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,,,,,,255000000.000,,,,255000000.000,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,,,,,11419000.000,,,,24810000.000,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,,,,,,,,,,0.000,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,,,,,,,,,,0.000,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,,,,,,364021000.000,,,,0.000,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,,,,,14500000.000,,,,353711000.000,,
LongTermDebtNoncurrent,675938000.000,642577000.000,643128000.000,637690000.000,634065000.000,633521000.000,629896000.000,622646000.000,622646000.000,608711000.000,540000000.000,540000000.000
NotesAndLoansReceivableNetCurrent,600000.000,,,,,,,,,,,
NotesAndLoansReceivableNetNoncurrent,2418000.000,2165000.000,1961000.000,1734000.000,1620000.000,1423000.000,1219000.000,1019000.000,816000.000,616000.000,415000.000,215000.000
OperatingLeasesFutureMinimumPaymentsDue,,,,,,335719000.000,,,,330060000.000,,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,,,40275000.000,,,,40752000.000,,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,24502000.000,,,,28117000.000,,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,,,,29272000.000,,,,30726000.000,,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,32860000.000,,,,35451000.000,,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,34454000.000,,,,39374000.000,,
OperatingLeasesFutureMinimumPaymentsDueThereafter,,,,,,174356000.000,,,,155640000.000,,
OtherAccruedLiabilitiesCurrent,25737000.000,34004000.000,34875000.000,32917000.000,26018000.000,43869000.000,43450000.000,43654000.000,35785000.000,46820000.000,47563000.000,44752000.000
OtherAssetsNoncurrent,8670000.000,8757000.000,8764000.000,8765000.000,8767000.000,5894000.000,5906000.000,5922000.000,5921000.000,5925000.000,5926000.000,5926000.000
OtherLiabilitiesNoncurrent,37300000.000,45459000.000,46529000.000,41555000.000,42017000.000,,,,,,,
PrepaidExpenseCurrent,10878000.000,11705000.000,14820000.000,12416000.000,11329000.000,17221000.000,17709000.000,18831000.000,16079000.000,14570000.000,16150000.000,15965000.000
PropertyPlantAndEquipmentGross,1135710000.000,1137492000.000,1149111000.000,1156355000.000,1162521000.000,1168997000.000,1172793000.000,1175988000.000,1189285000.000,1204650000.000,1213447000.000,1226623000.000
PropertyPlantAndEquipmentNet,633292000.000,625423000.000,623480000.000,618564000.000,612524000.000,607504000.000,600223000.000,590771000.000,594372000.000,600019000.000,597624000.000,598272000.000
ReceivablesNetCurrent,33831000.000,32166000.000,40142000.000,35332000.000,34872000.000,37427000.000,41910000.000,43242000.000,36627000.000,36080000.000,49773000.000,37626000.000
RestrictedCashAndCashEquivalents,3121000.000,3121000.000,,,,,,,,,,
RetainedEarningsAccumulatedDeficit,86010000.000,95205000.000,99215000.000,107045000.000,114323000.000,104311000.000,104760000.000,116358000.000,117712000.000,121083000.000,132139000.000,151290000.000
StockholdersEquity,75689000.000,80764000.000,84774000.000,92437000.000,99715000.000,82622000.000,83071000.000,94669000.000,95856000.000,113450000.000,124506000.000,143657000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,75689000.000,80764000.000,84774000.000,92437000.000,99715000.000,82622000.000,83071000.000,94669000.000,95856000.000,113450000.000,124506000.000,143657000.000
