SEC ID,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
73605,,,,2944798.000,,,3953920.000,3315394.000,1918783.000,3568957.000,1557501.000,1124771.000,1138810.000,1456755.000,1369775.000,1436075.000,1510792.000,,1406737.000,1189461.000,993677.000,942297.000,502174.000,,,
1598924,,,,,,,,,,,,,,,5500.000,,8000.000,,37490.000,,101219.000,,21146.000,,,
1094058,,5949000.000,4540000.000,,7123000.000,,3243000.000,,,,,,,,,,,,,,,,,,,
1555492,,,,,,,,,,,,,,,,,,,,,,,,,,
1474627,,7712784.000,5689043.000,,3315931.000,6983128.000,5529120.000,5542146.000,,,,,,,,,,,,,,,,,,
1392902,,,,,,,,,,,,,,,,,,,,,,,,,,
1421636,,31250.000,11250.000,,26250.000,26250.000,13072.000,19551.000,19363.000,19550.000,19500.000,19284.000,,,,,,,,,,,,,,
6494,,876363.000,1317014.000,,765081.000,,943267.000,,675580.000,971621.000,758872.000,844727.000,619005.000,599221.000,950896.000,617454.000,296327.000,321078.000,315379.000,12302098.000,3142709.000,196830.000,162880.000,80022.000,133779.000,
1439242,,0.000,,,,,,,,,,,,,,,,,,,,,,,,
33213,,,,,,,,,,,,,,,,,,,,,,,,,,
1388180,,,336.000,,1624481.000,727323.000,590502.000,684993.000,377694.000,1128258.000,57019.000,977467.000,440701.000,53696.000,752121.000,1104563.000,485182.000,529173.000,467642.000,155384.000,337490.000,810030.000,53619.000,57621.000,2088292.000,
1517248,,,,,226563.000,,196157.000,,,,,,,,,,,,,,,,,,,
1065696,786648000.000,759684000.000,783898000.000,939632000.000,1031777000.000,1006531000.000,1016707000.000,1067915000.000,1195997000.000,1251748000.000,1298094000.000,1316689000.000,1625777000.000,1709132000.000,1721024000.000,1684131000.000,1773912000.000,1838070000.000,1831732000.000,1748919000.000,1921476000.000,2450693000.000,2386830000.000,1825032000.000,2342843000.000,
1161582,,70821.000,209536.000,,107592.000,,475870.000,,760709.000,872557.000,1349264.000,1912311.000,2382836.000,,2105254.000,,1497811.000,1099455.000,525481.000,376895.000,467495.000,541075.000,,,467565.000,
1130888,,,17409514.000,,16974839.000,16819505.000,16690248.000,15956197.000,15589727.000,,,,,,,,,,,,,,,,,
1389217,,,,,,,,,,,,,,,,,,,,,,,,,,
719274,,3497000.000,4086000.000,,,,3405000.000,3946000.000,,3037000.000,3950000.000,3417000.000,2905000.000,4508000.000,5110000.000,4509000.000,4325000.000,4375000.000,3063000.000,4483000.000,2675000.000,3442000.000,4393000.000,3202000.000,5230000.000,
1364954,,,,,,,,,,,,,74393000.000,64492000.000,81532000.000,84417000.000,84872000.000,67061000.000,81286000.000,68154000.000,66654000.000,53036000.000,71343000.000,63057000.000,62602000.000,
