SEC ID,2010,2011,2012,2013,2014,2015,2016
808326,,-6289000.000,-15002000.000,-22105000.000,1001000.000,-3917000.000,-5552000.000
1265888,,226413000.000,303567000.000,287857000.000,319662000.000,355339000.000,335469000.000
1434702,,,,,,,
1308711,,17488000.000,-3101000.000,-3794000.000,-1775000.000,2503000.000,-1338000.000
1359841,133054000.000,167957000.000,548902000.000,591281000.000,508090000.000,227007000.000,605607000.000
1422143,,-22678.000,-24418.000,-23234.000,-15955.000,-17925000.000,-25349000.000
1520874,,-43630.000,-13082.000,,,,
1230355,,-15564000.000,-21357000.000,-29603000.000,,,
918580,,5716000.000,7017000.000,-4008000.000,5406000.000,10586000.000,3547000.000
16058,225964000.000,266688000.000,249331000.000,198643000.000,223215000.000,242577000.000,
1071739,,261696000.000,278691000.000,382526000.000,1223000000.000,658000000.000,1851000000.000
1544597,,,-31129.000,-33132.000,-343665.000,,
1498068,,,,,,,172211000.000
1511967,,175159000.000,222321000.000,,,,
1091325,,17414775.000,11214772.000,-9726431.000,-10409408.000,-9823697.000,
858748,,-3261534.000,2610719.000,,,,
1652044,,,,,,26024000000.000,36036000000.000
829114,,,,,,,
1649338,,,,,,,3411000000.000
42542,,1180000000.000,,,,,
1072806,,6511000.000,,,,,
1224006,,,-251202.000,-210582.000,,,
1304741,,,,,-16450.000,-42910.000,-149355.000
60549,,2507000000.000,2764000000.000,2857000000.000,3403000000.000,2615000000.000,2890000000.000
1331757,,66977000.000,217183000.000,205078000.000,213996000.000,194617000.000,198167000.000
1161366,,277559000.000,231038000.000,248092000.000,280292000.000,297236000.000,336034000.000
1044577,,,-178047.000,926136.000,,,
12040,,4352000.000,6212000.000,6744000.000,8251000.000,11140000.000,8767000.000
1289636,,1604135.000,-370592.000,2027273.000,685080.000,7332933.000,
1528875,,-9455.000,,-22463.000,-25500.000,,
1049210,,-9601000.000,-10009000.000,,,,
1229146,,4451438.000,4456015.000,3437159.000,3064366.000,4474888.000,
1082384,,,,,,,
949699,,86087000.000,,88772000.000,183767000.000,,
1097792,,-2560841.000,5679834.000,-11724214.000,-2673997.000,,1721574.000
1692412,,,,,,,
1527974,,,,,,,
1653477,,,,,,,127900000.000
1337213,,-1938581.000,,,,,
