SEC ID,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
77877,,127901000.000,195532000.000,173050000.000,159973000.000,153870000.000,117158000.000,171949000.000,152659000.000,177247000.000,404374000.000,325813000.000,293602000.000,213568000.000,157209000.000,340719000.000,374719000.000,250950000.000,326293000.000,332049000.000,528052000.000,319135000.000,1368045000.000,399825000.000,411771000.000,
1267391,,,288235.000,,,,,,,,,,,,,,,,,,,,,,,
1040130,,90621000.000,81514000.000,83181000.000,87607000.000,91207000.000,86192000.000,67576000.000,70187000.000,78678000.000,75290000.000,70782000.000,74209000.000,81796000.000,77164000.000,77755000.000,80400000.000,91045000.000,86099000.000,86420000.000,67627000.000,77273000.000,74592000.000,67689000.000,81785000.000,
1484565,,,,,,,,,,,,,,,307000.000,8338318.000,10023000.000,8165000.000,5526000.000,6404300.000,7583000.000,3756000.000,6507000.000,3801294.000,11800000.000,
1287668,,,115282853.000,,,,,,,,,,,,,,,,,,,,,,,
1262449,,383735000.000,174182000.000,,,,,,,,,,,,,,,,,,,,,,,
1270400,,,,,,,,,,,,,,,,,,,,,,,,,,
1077688,106696000.000,104555000.000,107489000.000,,104492000.000,105848000.000,105955000.000,,109667000.000,105893000.000,110632000.000,,107050000.000,109312000.000,115151000.000,,119938000.000,117995000.000,122792000.000,,128067000.000,175478000.000,196278000.000,,211917000.000,206221000.000
1140184,,,,,,,,,41054000.000,34761000.000,36045000.000,,30181000.000,31583000.000,28155000.000,,,,,,,,,,,
1361937,,130923000.000,138040000.000,159150000.000,177427000.000,154375000.000,96162000.000,97601000.000,78968000.000,88248000.000,86684000.000,81814000.000,77653000.000,84211000.000,165995000.000,161670000.000,466695000.000,165066000.000,136882000.000,115556000.000,82426000.000,53033000.000,59269000.000,52301000.000,63205000.000,
1426800,,11465642.000,53379245.000,37037563.000,31382953.000,29000965.000,23671263.000,20548803.000,37097168.000,33667440.000,32357690.000,27124940.000,23895916.000,21747803.000,18079805.000,29216397.000,96337918.000,71332755.000,66503164.000,68368465.000,59089199.000,64102987.000,59254826.000,53574664.000,92221684.000,
1269879,,,4010.000,,185778.000,,,132740.000,135039.000,,79120.000,71324.000,305903.000,234091.000,302001.000,,,,,,,,,,,
889331,,393715000.000,388243000.000,378382000.000,416698000.000,403096000.000,429742000.000,445465000.000,465886000.000,516060000.000,557272000.000,565599000.000,597521000.000,629400000.000,645634000.000,571505000.000,566862000.000,603122000.000,613774000.000,,583435000.000,605788000.000,555169000.000,612081000.000,,634225000.000
1034669,,68912000.000,69439000.000,220693000.000,92383000.000,100936000.000,145104000.000,60861000.000,58180000.000,50935000.000,,,,,,,,,,,,,,,,
1416729,,501449.000,,3810631.000,3318513.000,,243479.000,69107.000,,,,,,,,,,,,,,,,,,
1020214,,,30674000.000,39739000.000,46598000.000,40789000.000,43536000.000,43996000.000,87440000.000,77770000.000,74502000.000,78154000.000,67079000.000,70320000.000,72652000.000,74885000.000,136419000.000,144471000.000,128423000.000,130439000.000,119437000.000,112212000.000,108029000.000,94105000.000,75720000.000,
95552,,398725000.000,395173000.000,404283000.000,415048000.000,426798000.000,425604000.000,404908000.000,412434000.000,408816000.000,401149000.000,384218000.000,364482000.000,331360000.000,297849000.000,276011000.000,265396000.000,266084000.000,259172000.000,245820000.000,248120000.000,253692000.000,247545000.000,254081000.000,255172000.000,
1501268,,,,,,12477.000,8927.000,534.000,534.000,534.000,,529.000,,,580.000,596.000,1218.000,2538.000,1412.000,15550.000,440.000,1028.000,1105.000,,76.000,
1040570,,326152000.000,292210000.000,278680000.000,257388000.000,308763000.000,294541000.000,,,,,,,,,,,,,,,,,,,
1269022,,,,,,,,,,,,,,,63225.000,21807.000,48560.000,46941.000,,,,,,,,
1594420,,,,,,,,,,,,,55082.000,,,,,,,,,,,,,
1324482,,,191532000.000,178099000.000,181777000.000,161936000.000,179984000.000,,,,,,,,,,,,,,,,,,,
1502777,,,,,291621.000,130953.000,102594.000,,50948.000,72045.000,,,,,,,,,,,,,,,,
911109,,,,,,,,,,,,,,,,,,,,,,,,,,
1402186,,3773584.000,,,,,,,,,,,,,,,,,,,,,,,,
1549848,,,,,,,,,,,,,56976000.000,99271000.000,105249000.000,115219000.000,93611000.000,92867000.000,95894000.000,84366000.000,65268000.000,94033000.000,98473000.000,84200000.000,144781000.000,
931058,,102524000.000,125473000.000,373652000.000,112615000.000,,144249000.000,180156000.000,149944000.000,,169509000.000,179933000.000,181414000.000,,193418000.000,,,,,,,,,,,
1563004,,,,,,,,,,,,,,,,,,450192.000,,,,,,,,
1546381,,,,,,,,,,,,,,,,,,,,,,,,,,
1487952,,180640000.000,185071000.000,177742000.000,180753000.000,179153000.000,186796000.000,185866000.000,175189000.000,176413000.000,178056000.000,183542000.000,183867000.000,186110000.000,186514000.000,187038000.000,178825000.000,174421000.000,171846000.000,162208000.000,,156802000.000,161075000.000,155874000.000,,162412000.000
1287701,,,,,,,,,,,,,,,,,,,,,,,,,,
883107,,7531998.000,6635111.000,5345611.000,5469019.000,5376568.000,7025553.000,6592158.000,6254640.000,5977475.000,5543902.000,4537000.000,4489000.000,4532000.000,4337000.000,3567000.000,3645000.000,3567000.000,3621000.000,2691000.000,3462000.000,4168000.000,4030000.000,3427000.000,3944000.000,
1084869,,,129174000.000,,134845000.000,115741000.000,137368000.000,134970000.000,114140000.000,92649000.000,144821000.000,117241000.000,94634000.000,91818000.000,139364000.000,268896000.000,189892000.000,159968000.000,269076000.000,299654000.000,202075000.000,166659000.000,268810000.000,,284867000.000,251237000.000
1443157,,,,,66.000,,,,0.000,,224079.000,99560.000,,390863.000,,,,,,,,,,,,
1145765,,,,,,,,,,,,,,,,,,,,,,,,,,
1069157,,,,,,,,,,,,,,,,,,,,,,,,,,
