SEC ID,Report date,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,ComprehensiveIncomeNetOfTax,EarningsPerShareDiluted,Goodwill,Liabilities,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,OperatingIncomeLoss,PropertyPlantAndEquipmentNet,Revenues,WeightedAverageNumberOfDilutedSharesOutstanding
1091326,2014-12-31,1323102.000,246266.000,,,,,,5829122.000,1229559.000,0.000,-1909459.000,-4143621.000,0.000,0.000,
1571833,2016-12-31,2663800000.000,129500000.000,30800000.000,,,460700000.000,3545600000.000,251100000.000,90500000.000,-321400000.000,195100000.000,243600000.000,995100000.000,,
1417907,2011-12-31,229057162.000,136461031.000,308661.000,2250810.000,0.000,,185875506.000,168643416.000,91298205.000,-24739638.000,-66479048.000,-3085509.000,,198727111.000,397937888.000
1527599,2016-12-31,64166000.000,61380000.000,16432000.000,-26272000.000,,,3814000.000,2761000.000,16000.000,-48491000.000,-24805000.000,,354000.000,,
867374,2016-12-31,1481496000.000,816266000.000,164313000.000,38276000.000,0.950,359841000.000,653664000.000,263861000.000,-109106000.000,-12050000.000,121004000.000,56553000.000,103304000.000,992065000.000,47797000.000
1610532,2016-12-31,235836000.000,172295000.000,53332000.000,-252205000.000,,34333000.000,224474000.000,166319000.000,91533000.000,9093000.000,-82440000.000,-251176000.000,19381000.000,184461000.000,
889570,2015-01-01,151300000.000,100600000.000,96200000.000,,,7100000.000,70500000.000,16800000.000,10200000.000,-7500000.000,18500000.000,16600000.000,32000000.000,180600000.000,
1641614,2016-12-31,264420000.000,92417000.000,36955000.000,,,71996000.000,359693000.000,35276000.000,-21916000.000,-14294000.000,59958000.000,28982000.000,53419000.000,308700000.000,56203789.000
1609865,2015-12-31,677120000.000,,,-46175000.000,,,476989000.000,,279872000.000,-228771000.000,-27943000.000,-37583000.000,,21648000.000,
763901,2016-12-31,38661609000.000,,,153291000.000,2.060,627294000.000,33463652000.000,,2853259000.000,-3444006000.000,589467000.000,,543981000.000,,103377283.000
1599222,2015-12-31,5082849000.000,675704000.000,2175000.000,,0.490,,3614928000.000,224754000.000,622595000.000,-1260289000.000,633911000.000,-44953000.000,,732189000.000,193698000.000
1130591,2015-12-31,163993000.000,154546000.000,61317000.000,-82236000.000,,,,19284000.000,112545000.000,11117000.000,-74303000.000,-79222000.000,1792000.000,41160000.000,
1572422,2014-12-31,3132.000,3132.000,3132.000,,,,59705.000,59705.000,-4263.000,,-15351.000,-54975.000,,,
1672255,2016-12-31,,30567.000,,,,,,27066.000,22141.000,,-21574.000,,,,
1188382,2012-12-31,14068785000.000,,642946000.000,581908000.000,3.890,,771914000.000,,-76724000.000,-1104518000.000,638023000.000,,,,99999.900
1061937,2016-12-31,11408000000.000,,372000000.000,787000000.000,1.020,,4210000000.000,,-1037000000.000,-115000000.000,1303000000.000,684000000.000,10145000000.000,5430000000.000,743700000.000
1286345,2015-04-15,,,,,,,,,,,,,,,
1083643,2016-12-31,624445000.000,,,3397000.000,0.980,,569994000.000,,19934000.000,-11877000.000,6574000.000,,19299000.000,,3763929.000
1066247,2016-12-31,,,,,,,,,,,,,,,
